id,name,latitude,longitude,owner's name
323,Melissa Walker,42.2689,-89.0907,Vanessa Buchanan
324,North Anthony,36.6777,-121.656,Kevin Morton
325,Christineton,35.6231,-80.8011,Matthew Gomez
326,East Melindaton,35.9103,-79.0632,Lisa Hoffman
327,West Michaelborough,37.2748,-107.88,Carlos Cline
328,Jacobsfort,43.7548,-71.3967,Tina Werner
329,New William,43.649,-72.3193,Douglas Brown
330,Melissa Smith,41.9625,-91.6918,Robert Byrd
331,Port Sydneyshire,30.2672,-97.7431,Christopher Arias
332,West Cherylton,49.1873,-122.85,Linda Smith
333,East Jacquelineview,44.4419,-89.2797,Kendra Vasquez
334,Robert Nelson,14.6133,-90.5353,Christopher Bryant
335,New Kimmouth,25.7091,-100.314,Kayla Bryan
336,Schmidtberg,-32.8902,-68.844,Tyler Perez
337,Lake Joseshire,37.4316,-78.6569,Suzanne Malone
339,New Robertmouth,19.7219,-101.225,Kimberly Owen
340,Lake Codyfort,-25.1688,-50.1298,Jenna Adkins
341,Emilyland,-26.8914,-49.1223,Nicole Allen
342,East Olivia,37.1875,-3.6018,Todd Durham
343,Scottburgh,35.14,-106.6,David Valenzuela
344,North Laura,52.1321,-0.4815,Wesley Hinton
345,Lake Stephaniefurt,28.2126,-80.6734,Tyler Kidd
346,Parkburgh,40.7457,-74.0086,Donna Russell
347,Marieburgh,44.8342,-87.377,Edward Martinez
348,North Charlesmouth,39.8023,-105.084,Madison Hawkins
349,Pachecoville,36.1476,-115.298,Adrian Ross
350,Donnamouth,50.0355,4.3777,Patrick Gay
351,Juliatown,27.9587,-82.5093,Jason Reese
352,East Mike,39.7684,-86.158,Shannon Brown
353,South Zachary,43.8042,-91.2526,David Rangel
354,Alexandra Li,33.8575,-117.876,Daniel Davis
355,New Brittany,41.4995,-81.6994,Nicole Thomas
356,East Kaitlinburgh,40.6598,-74.283,Daniel Walker
357,Robinhaven,39.2308,-76.6751,Joseph Hamilton
358,Camachoburgh,50.9401,6.957,Tyler Reed
359,Burnettshire,35.2205,-97.4439,Andrea Walker
360,Parksland,30.396,-88.8853,Lisa Johnston
361,East Kathy,37.0013,-121.566,Tanner Thomas
362,Cherylstad,37.978,-122.031,Jaime Hicks
363,Connormouth,47.6745,-116.784,Alyssa Hughes
364,Pattersonborough,45.4582,-94.4291,Sharon Matthews
365,East Cathyshire,42.417,-88.074,Robert Rasmussen
366,Wilsonview,42.3584,-71.0598,Nicholas Cruz
367,Port Haley,43.3177,-73.64,Manuel Tanner
368,Melendezchester,-34.8727,138.573,Anthony Allen
369,Lake Deborah,42.5893,-74.9403,Joseph Hardy
370,Holly Schmidt,39.7599,-105.219,Derrick Benitez
371,East Ericmouth,37.7273,-89.2168,Mrs. Sophia Marquez
372,Natashaland,40.9222,-98.3581,Zachary Davis
373,North Angelashire,40.8942,-77.1971,Ryan Cruz
374,Port Adrianmouth,43.5323,-90.0099,Alexander Burgess
375,Smithfurt,32.6976,-117.173,Sarah Smith
376,Shannon Davidson PhD,41.537,-71.2796,Cindy Miller
377,North Justintown,53.8846,-1.2652,Tara Burch
378,Lesterfurt,41.5855,-93.621,Ryan Martin
379,East Sarahside,44.0886,-87.6576,Matthew Moore
380,New Jenniferfurt,40.2795,-75.2143,Nicole Obrien
381,Nolanland,40.4313,-104.688,Tina Anderson
382,Davidport,34.1696,-118.159,Todd Wilson
383,Powellport,40.8069,-96.6817,Cameron Solis
384,Lake Amandahaven,29.9558,-90.0641,Kristen Smith
385,Matthewburgh,38.8698,-106.987,Calvin Sanchez
386,Port Zacharyland,40.8726,-74.2964,Patricia Evans
387,Patrick Howard,41.4995,-81.6954,Arthur Jackson
388,Port Phillip,40.6936,-89.589,Christian Hernandez
389,East Crystalland,54.2912,-0.8406,Matthew Mckinney
390,Greeneberg,43.1147,-89.6531,Angie Davis
391,South Kristinastad,31.7291,-116.578,Sandra Lee
392,Heatherberg,41.8539,-88.2776,Lori Franklin
393,Jennifermouth,38.2309,-85.7055,Alexandria Fry
394,Natalieland,43.7076,-70.3149,Mary Lee
395,Wrightshire,50.6059,3.3884,Deborah Munoz
396,North Robertstad,53.9999,-1.501,Matthew Howard
397,Lake Josefurt,42.2667,-84.9641,Erik Banks
398,North Crystaltown,29.8994,-90.1004,Chelsea Walter
399,West Stevenshire,51.4421,4.9232,Michael Jones
400,Emilyside,53.0606,5.5342,Dana Boyle
401,Obrienfort,51.2026,3.2242,Zachary Cunningham
402,North Isabel,51.0811,3.3699,Susan Chaney
403,Jesusstad,51.1159,3.8158,Rita Gonzalez
404,Chandlerton,50.9229,2.7518,Erik Fritz
405,South Robert,39.5584,-79.3528,Eric Martinez
406,Leville,39.2904,-76.6122,Olivia Charles
407,Smithmouth,32.7153,-117.157,James Odonnell
408,Timothyfurt,43.0481,-88.3553,Thomas Crawford
409,West Kenneth,38.2362,-122.64,Lauren Mitchell
410,Gallagherfort,44.3478,-87.8273,Sarah Palmer
411,Port Susantown,39.7553,-104.997,Grace Johns
412,Valerieborough,44.0474,-121.323,Kimberly Chandler
413,Chandlerbury,33.9858,-96.6515,Hannah Park
414,East Danielhaven,39.1361,-84.5031,Claire Reid
415,East Pamela,34.7473,-92.2839,Michelle Myers
416,Port Jessicahaven,47.9485,-122.305,James Murphy
417,East Heidiport,41.4995,-81.6954,Christopher Thompson
418,Tracytown,46.7713,-123.007,Danielle Morales
419,Tinaburgh,51.5331,6.4213,Kurt Bradford
420,Cynthiatown,45.5228,-73.5928,Eric Cook
421,Jeffreyhaven,39.6282,-106.059,Mark Johnson
422,Darlene Barnes,38.5405,-90.4607,Ashley Armstrong
423,Stricklandton,49.2766,-123.115,Lisa Holt
424,Port Anthonyborough,29.9606,-90.0871,Andrea Lucas
425,Angela Owens,39.7541,-105,Samantha Luna
426,Ianmouth,39.9478,-75.2229,Nicole Fitzpatrick
427,Michaelbury,49.2698,-123.132,Charlene Martin
428,New Jeffrey,38.7683,-75.3107,Susan Hale
429,Lake Brianna,51.5298,7.4692,Sarah Harper
430,Rodriguezview,39.8019,-105.514,Robert Palmer
431,Kristy Hill,45.71,-121.515,Alicia Davis
432,Nunezmouth,42.493,-82.9753,Mary Wiggins
433,Samuel Bridges,37.7176,-122.182,Kelly Meyer
434,New John,47.4921,19.1422,William Robertson
435,West Valerie,35.0845,-106.651,Daniel Leon
436,Port William,53.3441,-6.2675,John Patterson
437,Cameronton,42.5006,-90.6646,Jeremy Turner
438,North Cassandraport,35.6003,-77.5971,Raymond Collins
439,New Blakefort,39.2807,-76.5944,Cindy Mitchell
440,New Deborahmouth,28.014,-82.7876,William Ramirez
441,West Michael,41.7075,-86.895,Ann Hudson
442,Christopher Mejia,51.2206,4.3997,Julie Jones
443,Schmidtfort,-45.0331,168.661,Bradley Austin
444,Lake Teresa,47.9454,-122.304,Shawn Aguirre
445,Port Connie,40.4553,-79.9043,Natalie Flores
446,Clarkburgh,38.7814,-76.2222,Joseph Martin
447,New Tiffany,38.5725,-109.551,Lauren Brown
448,South Michael,49.9211,9.0715,Hannah Thomas
449,New Cynthia,40.5793,-124.153,Jennifer Rodriguez
450,East Jasmine,55.7558,37.6176,Jessica Chapman
451,Pennybury,44.4489,-88.0604,Craig Taylor
452,Crystalchester,51.8162,9.8643,Thomas Sullivan
453,Nelsonhaven,37.978,-122.034,Kyle Mcbride
454,Serranoton,37.1553,-121.676,Carrie Padilla
455,Christineton,52.6643,0.1595,John Stephenson
456,East Jessicafort,40.8911,-77.477,Michael Pittman
457,East Carlaview,38.4093,-121.363,Jason Moss
458,Ayersland,47.8099,-122.302,Martin Mendez
459,West Krista,39.2684,-76.7994,Alexis Long
460,Poncebury,47.5604,-122.387,Lisa Nguyen
461,East Samuelmouth,42.9324,-72.2867,Laurie Carter
462,Ortegahaven,47.614,-122.316,Corey Kim
463,Port Jamesport,47.6688,-122.334,Mary Kelley
464,Powellmouth,-45.872,170.518,Jason Hall
465,Angelfurt,37.8313,-122.285,Shannon Jimenez
466,New Patrick,42.0981,-88.2783,Anthony Williams
467,Cunninghamshire,40.8155,-96.7105,Pam Willis
468,Benjaminstad,43.5325,-90.0026,Jerry Kline
469,Lake Christopher,47.256,-122.473,Amanda Smith
470,Adamton,36.6802,-121.804,Christine Hanson
471,Lawrencetown,-36.9489,174.821,Jessica Gallagher
472,New Colleentown,42.1112,-80.113,Vanessa Aguilar
473,North Eileen,43.1147,-89.6531,Amy Davis
474,Pearsonhaven,40.3707,-105.526,Samantha Cook
475,East Michael,41.4559,-122.846,Bridget Middleton
476,Kimberlyshire,47.569,11.0942,Michelle Howard
477,West Eric,43.1045,-75.2452,Jenna Lane
479,Thomas Farmer,47.6701,-122.118,David Dean
480,Tiffanyport,43.0844,-89.4761,Angela Patton
481,Lisa Lynch,37.387,-121.993,Felicia Allen
482,Brianbury,37.8855,-122.033,Debra Murillo
483,West Maria,54.9548,-1.6576,Scott Lyons
485,Jacobport,51.6987,-4.1456,Patricia Campbell
486,Josephside,39.322,-120.163,Travis Taylor
487,New Tonytown,41.0117,-95.2272,Ashley Ramirez
488,West Stacy,44.0812,-103.227,Jennifer Boone
489,Paulside,37.3775,-122.03,Andrew Richards
490,Jessicaburgh,35.5953,-120.694,Thomas Marquez
491,Port Brianmouth,34.2257,-77.9447,Mathew Brewer
492,Lake Jenniferstad,47.0437,-122.897,Gary Little
493,West Mary,46.7926,-92.0909,Harold Gray
494,Carterborough,41.6611,-91.5302,Denise Williamson
495,North Karen,35.1973,-111.648,Michael Rodriguez
496,New Matthewtown,38.95,-92.3323,Kelly Mora
497,Leshire,44.9084,-93.1538,Anthony Stewart
498,South Annetteview,42.2031,-87.9302,Joseph Williams
499,North Christine,54.779,9.4355,Brad Adams
500,South Emilyland,28.0707,-80.6012,Brian Robinson
501,Marshallbury,41.5433,-87.6789,Alexis Harris
502,New Rachelbury,43.161,-77.6109,Jessica Henderson
503,Port Bryan,48.2992,-122.652,Heather Smith
504,New Lauraport,42.9561,-78.8966,Mr. Johnny Alvarado III
505,Clarkfort,39.7582,-104.99,Susan Wilson
506,East Michael,39.9121,-74.9701,Steven Decker
507,North Bob,50.6818,4.9547,Chelsea Mclaughlin DVM
